Ilya Sorokin	G1	Blizzards	30
Joel Hofer	G2	Blizzards	30
Teuvo Teravainen	LW1	Supernovas	86
Anze Kopitar	C1	Supernovas	11
Dawson Mercer	RW1	Supernovas	90
Oliver Bjorkstrand	LW2	Supernovas	22
Kent Johnson	C2	Supernovas	91
Ryan Leonard	RW2	Supernovas	9
Brendan Lemieux	LW3	Supernovas	48
Adam Gaudette	C3	Supernovas	81
Brett Ritchie	RW3	Supernovas	23
Ryan Lasch	LW4	Supernovas	19
Mark Kastelic	C4	Supernovas	47
Walker Duehr	RW4	Supernovas	71
Johnathan Kovacevic	LD1	Supernovas	8
Darren Raddysh	RD1	Supernovas	43
Seamus Casey	LD2	Supernovas	24
Erik Gudbranson	RD2	Supernovas	44
Emil Lilleberg	LD3	Supernovas	78
Artyom Levshunov	RD3	Supernovas	55
Eric Comrie	G1	Supernovas	1
Matt Murray	G2	Supernovas	30
Brad Marchand	LW1	Cannons	63
Mika Zibanejad	C1	Cannons	93
Adrian Kempe	RW1	Cannons	9
Brandon Hagel	LW2	Cannons	38
Barrett Hayton	C2	Cannons	27
Trevor Moore	RW2	Cannons	12
Brandon Tanev	LW3	Cannons	13
Oskar Sundqvist	C3	Cannons	70
Warren Foegele	RW3	Cannons	37
Jimmy Vesey	LW4	Cannons	26
Max Sasson	C4	Cannons	36
Keegan Kolesar	RW4	Cannons	55
Michael Matheson	LD1	Cannons	8
Brandon Carlo	RD1	Cannons	25
Thomas Chabot	LD2	Cannons	73
J.J. Moser	RD2	Cannons	90
Erik Brännström	LD3	Cannons	62
David Savard	RD3	Cannons	58
Sergei Bobrovsky	G1	Cannons	72
Jake Allen	G2	Cannons	34
Isac Lundeström	LW1	Blue Jays	21
Michael McCarron	C1	Blue Jays	47
Drake Batherson	RW1	Blue Jays	19
Trey Fix-Wolansky	LW2	Blue Jays	64
Zachary L'Heureux	C2	Blue Jays	68
Gabe Perreault	RW2	Blue Jays	94
Jonathan Lekkerimäki	LW3	Blue Jays	24
Connor Bunnaman	C3	Blue Jays	82
Jimmy Snuggerud	RW3	Blue Jays	12
Fabian Lysell	LW4	Blue Jays	23
Matthew Wood	C4	Blue Jays	52
Olle Lycksell	RW4	Blue Jays	15
Zac Jones	LD1	Blue Jays	6
T.J. Brodie	RD1	Blue Jays	78
Sebastan Aho	LD2	Blue Jays	25
Maveric Lamoureux	RD2	Blue Jays	10
William Lagesson	LD3	Blue Jays	84
Jack Thompson	RD3	Blue Jays	26
Carter Hart	G1	Blue Jays	79
Leevi Merilainen	G2	Blue Jays	1
Dylan Larkin	LW1	Miners	71
Elias Lindholm	C1	Miners	28
Nikita Kucherov	RW1	Miners	86
Michael Rasmussen	LW2	Miners	27
Jack McBain	C2	Miners	22
Fabian Zetterlund	RW2	Miners	20
Cam Atkinson	LW3	Miners	13
Juuso Pärssinen	C3	Miners	75
